,sentinel_image,image,mask1,max_val_swir_nir,num_fire_pixels_mask1
13,T39UXT_20200823T072619,T39UXT_20200823T072619_20m_stack_p00359.tif,T39UXT_20200823T072619_20m_stack_maskf_p00359.tif,17282,11
14,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00429.tif,T22MEA_20200806T135121_20m_stack_maskf_p00429.tif,0,0
15,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00425.tif,T20JQR_20200827T141049_20m_stack_maskf_p00425.tif,0,0
16,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00189.tif,T19FDA_20200827T141049_20m_stack_maskf_p00189.tif,7676,0
17,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00016.tif,T19FDA_20200827T141049_20m_stack_maskf_p00016.tif,12382,0
18,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00151.tif,T21LVK_20200802T141051_20m_stack_maskf_p00151.tif,4811,0
19,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00438.tif,T30SUG_20200821T105631_20m_stack_maskf_p00438.tif,10563,0
20,T52WES_20200812T025549,T52WES_20200812T025549_20m_stack_p00297.tif,T52WES_20200812T025549_20m_stack_maskf_p00297.tif,5784,0
21,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00195.tif,T50TLK_20200810T030551_20m_stack_maskf_p00195.tif,7793,0
22,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00427.tif,T37MCM_20200823T072619_20m_stack_maskf_p00427.tif,8831,0
23,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00147.tif,T38SPA_20200823T072619_20m_stack_maskf_p00147.tif,5081,0
24,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00026.tif,T16SCD_20200815T162839_20m_stack_maskf_p00026.tif,0,0
25,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00126.tif,T37TEN_20200808T081609_20m_stack_maskf_p00126.tif,6144,0
26,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00103.tif,T30UYC_20200821T105631_20m_stack_maskf_p00103.tif,14160,0
27,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00030.tif,T19FDA_20200827T141049_20m_stack_maskf_p00030.tif,6182,0
28,T21WXU_20200825T153911,T21WXU_20200825T153911_20m_stack_p00254.tif,T21WXU_20200825T153911_20m_stack_maskf_p00254.tif,10187,0
29,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00215.tif,T37MCM_20200823T072619_20m_stack_maskf_p00215.tif,9728,0
30,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00156.tif,T38SPA_20200823T072619_20m_stack_maskf_p00156.tif,5181,0
31,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00460.tif,T30PYB_20200827T102559_20m_stack_maskf_p00460.tif,0,0
32,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00467.tif,T22MEA_20200806T135121_20m_stack_maskf_p00467.tif,0,0
33,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00363.tif,T16SCD_20200815T162839_20m_stack_maskf_p00363.tif,11633,0
34,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00304.tif,T30PYB_20200827T102559_20m_stack_maskf_p00304.tif,0,0
35,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00036.tif,T22MEA_20200806T135121_20m_stack_maskf_p00036.tif,4804,0
36,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00005.tif,T30PYB_20200827T102559_20m_stack_maskf_p00005.tif,6641,0
37,T36LWL_20200821T073621,T36LWL_20200821T073621_20m_stack_p00054.tif,T36LWL_20200821T073621_20m_stack_maskf_p00054.tif,0,0
38,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00274.tif,T50TLK_20200810T030551_20m_stack_maskf_p00274.tif,10291,0
39,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00025.tif,T35ULR_20200821T092031_20m_stack_maskf_p00025.tif,13482,0
40,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00158.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00158.tif,3840,0
41,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00159.tif,T35ULR_20200821T092031_20m_stack_maskf_p00159.tif,11588,0
42,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00106.tif,T37MCM_20200823T072619_20m_stack_maskf_p00106.tif,14718,0
43,T55HGV_20200827T000251,T55HGV_20200827T000251_20m_stack_p00109.tif,T55HGV_20200827T000251_20m_stack_maskf_p00109.tif,4624,0
44,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00253.tif,T19FDA_20200827T141049_20m_stack_maskf_p00253.tif,8296,0
45,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00278.tif,T19FDA_20200827T141049_20m_stack_maskf_p00278.tif,8695,0
46,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00236.tif,T16SCD_20200815T162839_20m_stack_maskf_p00236.tif,10374,0
47,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00337.tif,T52LFL_20200812T013719_20m_stack_maskf_p00337.tif,6373,0
48,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00434.tif,T50TLK_20200810T030551_20m_stack_maskf_p00434.tif,4790,0
49,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00240.tif,T22MEA_20200806T135121_20m_stack_maskf_p00240.tif,5144,0
50,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00352.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00352.tif,3786,0
51,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00424.tif,T21LVK_20200802T141051_20m_stack_maskf_p00424.tif,4721,0
52,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00214.tif,T30PYB_20200827T102559_20m_stack_maskf_p00214.tif,6360,0
53,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00201.tif,T20JQR_20200827T141049_20m_stack_maskf_p00201.tif,4162,0
54,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00106.tif,T21LVK_20200802T141051_20m_stack_maskf_p00106.tif,4722,0
55,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00330.tif,T43TGH_20200825T053651_20m_stack_maskf_p00330.tif,10403,0
56,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00339.tif,T37MCM_20200823T072619_20m_stack_maskf_p00339.tif,15147,0
57,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00351.tif,T50TLK_20200810T030551_20m_stack_maskf_p00351.tif,5429,0
58,T39TWN_20200823T072619,T39TWN_20200823T072619_20m_stack_p00465.tif,T39TWN_20200823T072619_20m_stack_maskf_p00465.tif,4370,0
59,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00010.tif,T20JQR_20200827T141049_20m_stack_maskf_p00010.tif,12164,0
60,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00313.tif,T22MEA_20200806T135121_20m_stack_maskf_p00313.tif,5118,0
61,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00296.tif,T43VED_20200812T061639_20m_stack_maskf_p00296.tif,3989,0
62,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00318.tif,T20JQR_20200827T141049_20m_stack_maskf_p00318.tif,3906,0
63,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00283.tif,T22MEA_20200806T135121_20m_stack_maskf_p00283.tif,5394,0
64,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00403.tif,T30PYB_20200827T102559_20m_stack_maskf_p00403.tif,0,0
65,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00078.tif,T20JQR_20200827T141049_20m_stack_maskf_p00078.tif,6307,0
66,T39TWN_20200823T072619,T39TWN_20200823T072619_20m_stack_p00118.tif,T39TWN_20200823T072619_20m_stack_maskf_p00118.tif,6382,0
67,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00337.tif,T35ULR_20200821T092031_20m_stack_maskf_p00337.tif,11670,0
68,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00409.tif,T30PYB_20200827T102559_20m_stack_maskf_p00409.tif,0,0
69,T21WXU_20200825T153911,T21WXU_20200825T153911_20m_stack_p00466.tif,T21WXU_20200825T153911_20m_stack_maskf_p00466.tif,9388,0
70,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00005.tif,T22MEA_20200806T135121_20m_stack_maskf_p00005.tif,5034,0
71,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00237.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00237.tif,4534,0
72,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00029.tif,T52LFL_20200812T013719_20m_stack_maskf_p00029.tif,872,0
73,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00420.tif,T50TLK_20200810T030551_20m_stack_maskf_p00420.tif,5959,0
74,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00359.tif,T38SPA_20200823T072619_20m_stack_maskf_p00359.tif,5400,0
75,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00318.tif,T37MCM_20200823T072619_20m_stack_maskf_p00318.tif,10998,0
76,T55HGV_20200827T000251,T55HGV_20200827T000251_20m_stack_p00030.tif,T55HGV_20200827T000251_20m_stack_maskf_p00030.tif,3971,0
77,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00133.tif,T30SUG_20200821T105631_20m_stack_maskf_p00133.tif,5132,0
78,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00118.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00118.tif,10037,0
79,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00396.tif,T22MEA_20200806T135121_20m_stack_maskf_p00396.tif,0,0
80,T49WFM_20200825T035541,T49WFM_20200825T035541_20m_stack_p00276.tif,T49WFM_20200825T035541_20m_stack_maskf_p00276.tif,8289,0
81,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00103.tif,T52LFL_20200812T013719_20m_stack_maskf_p00103.tif,2406,0
82,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00018.tif,T20JQR_20200827T141049_20m_stack_maskf_p00018.tif,8438,0
83,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00318.tif,T52LFL_20200812T013719_20m_stack_maskf_p00318.tif,7106,0
84,T52WES_20200812T025549,T52WES_20200812T025549_20m_stack_p00063.tif,T52WES_20200812T025549_20m_stack_maskf_p00063.tif,7528,0
85,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00410.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00410.tif,3955,0
86,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00377.tif,T30UYC_20200821T105631_20m_stack_maskf_p00377.tif,12384,0
87,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00428.tif,T38SPA_20200823T072619_20m_stack_maskf_p00428.tif,5507,0
88,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00321.tif,T43TGH_20200825T053651_20m_stack_maskf_p00321.tif,7532,0
89,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00145.tif,T16SCD_20200815T162839_20m_stack_maskf_p00145.tif,8478,0
90,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00448.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00448.tif,6329,0
91,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00196.tif,T20JQR_20200827T141049_20m_stack_maskf_p00196.tif,5972,0
92,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00298.tif,T22MEA_20200806T135121_20m_stack_maskf_p00298.tif,4828,0
93,T39TWN_20200823T072619,T39TWN_20200823T072619_20m_stack_p00291.tif,T39TWN_20200823T072619_20m_stack_maskf_p00291.tif,9915,0
94,T49WFM_20200825T035541,T49WFM_20200825T035541_20m_stack_p00040.tif,T49WFM_20200825T035541_20m_stack_maskf_p00040.tif,9530,0
95,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00328.tif,T43VED_20200812T061639_20m_stack_maskf_p00328.tif,4227,0
96,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00052.tif,T38SPA_20200823T072619_20m_stack_maskf_p00052.tif,5218,0
97,T21WXU_20200825T153911,T21WXU_20200825T153911_20m_stack_p00220.tif,T21WXU_20200825T153911_20m_stack_maskf_p00220.tif,4627,0
98,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00432.tif,T50TLK_20200810T030551_20m_stack_maskf_p00432.tif,8849,0
99,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00267.tif,T37MCM_20200823T072619_20m_stack_maskf_p00267.tif,9805,0
100,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00031.tif,T50TLK_20200810T030551_20m_stack_maskf_p00031.tif,5196,0
101,T49WFM_20200825T035541,T49WFM_20200825T035541_20m_stack_p00187.tif,T49WFM_20200825T035541_20m_stack_maskf_p00187.tif,9999,0
102,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00441.tif,T30UYC_20200821T105631_20m_stack_maskf_p00441.tif,8964,0
103,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00199.tif,T37TEN_20200808T081609_20m_stack_maskf_p00199.tif,9020,0
104,T47RPJ_20200827T034539,T47RPJ_20200827T034539_20m_stack_p00230.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00230.tif,5927,0
105,T52WES_20200812T025549,T52WES_20200812T025549_20m_stack_p00443.tif,T52WES_20200812T025549_20m_stack_maskf_p00443.tif,10102,0
106,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00165.tif,T37MCM_20200823T072619_20m_stack_maskf_p00165.tif,10497,0
107,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00396.tif,T19FDA_20200827T141049_20m_stack_maskf_p00396.tif,10492,0
108,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00220.tif,T16SCD_20200815T162839_20m_stack_maskf_p00220.tif,8744,0
109,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00325.tif,T30PYB_20200827T102559_20m_stack_maskf_p00325.tif,0,0
110,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00285.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00285.tif,4683,0
111,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00374.tif,T21LVK_20200802T141051_20m_stack_maskf_p00374.tif,4777,0
112,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00013.tif,T20JQR_20200827T141049_20m_stack_maskf_p00013.tif,7828,0
113,T49WFM_20200825T035541,T49WFM_20200825T035541_20m_stack_p00368.tif,T49WFM_20200825T035541_20m_stack_maskf_p00368.tif,6596,0
114,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00187.tif,T21LVK_20200802T141051_20m_stack_maskf_p00187.tif,5121,0
115,T39UXT_20200823T072619,T39UXT_20200823T072619_20m_stack_p00135.tif,T39UXT_20200823T072619_20m_stack_maskf_p00135.tif,14455,0
116,T21LVK_20200802T141051,T21LVK_20200802T141051_20m_stack_p00074.tif,T21LVK_20200802T141051_20m_stack_maskf_p00074.tif,5041,0
117,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00161.tif,T43TGH_20200825T053651_20m_stack_maskf_p00161.tif,7204,0
118,T47RPJ_20200827T034539,T47RPJ_20200827T034539_20m_stack_p00210.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00210.tif,10899,0
119,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00382.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00382.tif,10574,0
120,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00313.tif,T43TGH_20200825T053651_20m_stack_maskf_p00313.tif,4966,0
121,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00315.tif,T19FDA_20200827T141049_20m_stack_maskf_p00315.tif,6072,0
122,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00332.tif,T22MEA_20200806T135121_20m_stack_maskf_p00332.tif,4808,0
123,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00020.tif,T35ULR_20200821T092031_20m_stack_maskf_p00020.tif,6787,2
124,T36LWL_20200821T073621,T36LWL_20200821T073621_20m_stack_p00223.tif,T36LWL_20200821T073621_20m_stack_maskf_p00223.tif,12548,0
125,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00150.tif,T30PYB_20200827T102559_20m_stack_maskf_p00150.tif,5184,0
126,T37MCM_20200823T072619,T37MCM_20200823T072619_20m_stack_p00344.tif,T37MCM_20200823T072619_20m_stack_maskf_p00344.tif,11429,0
127,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00250.tif,T37TEN_20200808T081609_20m_stack_maskf_p00250.tif,12926,0
128,T47RPJ_20200827T034539,T47RPJ_20200827T034539_20m_stack_p00308.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00308.tif,11203,0
129,T39UXT_20200823T072619,T39UXT_20200823T072619_20m_stack_p00011.tif,T39UXT_20200823T072619_20m_stack_maskf_p00011.tif,14050,0
130,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00221.tif,T30PYB_20200827T102559_20m_stack_maskf_p00221.tif,6931,0
131,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00311.tif,T43VED_20200812T061639_20m_stack_maskf_p00311.tif,4206,0
132,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00211.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00211.tif,3855,0
133,T21WXU_20200825T153911,T21WXU_20200825T153911_20m_stack_p00037.tif,T21WXU_20200825T153911_20m_stack_maskf_p00037.tif,7031,0
134,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00067.tif,T30PYB_20200827T102559_20m_stack_maskf_p00067.tif,6296,0
135,T52VFQ_20200821T023551,T52VFQ_20200821T023551_20m_stack_p00172.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00172.tif,4089,0
136,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00354.tif,T30UYC_20200821T105631_20m_stack_maskf_p00354.tif,12653,0
137,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00205.tif,T43VED_20200812T061639_20m_stack_maskf_p00205.tif,4221,0
138,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00356.tif,T22MEA_20200806T135121_20m_stack_maskf_p00356.tif,4869,0
139,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00226.tif,T30PYB_20200827T102559_20m_stack_maskf_p00226.tif,6244,0
140,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00389.tif,T30SUG_20200821T105631_20m_stack_maskf_p00389.tif,5940,0
141,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00369.tif,T43VED_20200812T061639_20m_stack_maskf_p00369.tif,3985,0
142,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00263.tif,T20JQR_20200827T141049_20m_stack_maskf_p00263.tif,4774,0
143,T39UXT_20200823T072619,T39UXT_20200823T072619_20m_stack_p00164.tif,T39UXT_20200823T072619_20m_stack_maskf_p00164.tif,12262,0
144,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00440.tif,T50TLK_20200810T030551_20m_stack_maskf_p00440.tif,4777,0
145,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00354.tif,T30PYB_20200827T102559_20m_stack_maskf_p00354.tif,0,0
146,T52WES_20200812T025549,T52WES_20200812T025549_20m_stack_p00317.tif,T52WES_20200812T025549_20m_stack_maskf_p00317.tif,7900,0
147,T30UYC_20200821T105631,T30UYC_20200821T105631_20m_stack_p00164.tif,T30UYC_20200821T105631_20m_stack_maskf_p00164.tif,10875,0
148,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00399.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00399.tif,4047,0
149,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00043.tif,T52LFL_20200812T013719_20m_stack_maskf_p00043.tif,11241,0
150,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00477.tif,T50TLK_20200810T030551_20m_stack_maskf_p00477.tif,5606,0
151,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00457.tif,T35ULR_20200821T092031_20m_stack_maskf_p00457.tif,13779,2
152,T52WES_20200812T025549,T52WES_20200812T025549_20m_stack_p00347.tif,T52WES_20200812T025549_20m_stack_maskf_p00347.tif,7394,0
153,T39TWN_20200823T072619,T39TWN_20200823T072619_20m_stack_p00441.tif,T39TWN_20200823T072619_20m_stack_maskf_p00441.tif,4431,0
154,T43VED_20200812T061639,T43VED_20200812T061639_20m_stack_p00143.tif,T43VED_20200812T061639_20m_stack_maskf_p00143.tif,4001,0
155,T21WXU_20200825T153911,T21WXU_20200825T153911_20m_stack_p00089.tif,T21WXU_20200825T153911_20m_stack_maskf_p00089.tif,4688,0
156,T12TUQ_20200813T181931,T12TUQ_20200813T181931_20m_stack_p00028.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00028.tif,15660,234
157,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00454.tif,T52LFL_20200812T013719_20m_stack_maskf_p00454.tif,3580,0
158,T19FDA_20200827T141049,T19FDA_20200827T141049_20m_stack_p00477.tif,T19FDA_20200827T141049_20m_stack_maskf_p00477.tif,0,0
159,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00053.tif,T37TEN_20200808T081609_20m_stack_maskf_p00053.tif,11326,0
160,T36LWL_20200821T073621,T36LWL_20200821T073621_20m_stack_p00331.tif,T36LWL_20200821T073621_20m_stack_maskf_p00331.tif,11255,0
161,T22MEA_20200806T135121,T22MEA_20200806T135121_20m_stack_p00363.tif,T22MEA_20200806T135121_20m_stack_maskf_p00363.tif,14282,10
162,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00415.tif,T16SCD_20200815T162839_20m_stack_maskf_p00415.tif,9752,0
163,T49WFM_20200825T035541,T49WFM_20200825T035541_20m_stack_p00294.tif,T49WFM_20200825T035541_20m_stack_maskf_p00294.tif,12952,0
164,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00245.tif,T30SUG_20200821T105631_20m_stack_maskf_p00245.tif,8178,28
165,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00132.tif,T43TGH_20200825T053651_20m_stack_maskf_p00132.tif,4522,0
166,T30SUG_20200821T105631,T30SUG_20200821T105631_20m_stack_p00367.tif,T30SUG_20200821T105631_20m_stack_maskf_p00367.tif,6665,0
167,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00015.tif,T20JQR_20200827T141049_20m_stack_maskf_p00015.tif,6838,0
168,T43TGH_20200825T053651,T43TGH_20200825T053651_20m_stack_p00187.tif,T43TGH_20200825T053651_20m_stack_maskf_p00187.tif,5374,0
169,T30PYB_20200827T102559,T30PYB_20200827T102559_20m_stack_p00419.tif,T30PYB_20200827T102559_20m_stack_maskf_p00419.tif,0,0
170,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00111.tif,T38SPA_20200823T072619_20m_stack_maskf_p00111.tif,5329,0
171,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00285.tif,T37TEN_20200808T081609_20m_stack_maskf_p00285.tif,5200,0
172,T47RPJ_20200827T034539,T47RPJ_20200827T034539_20m_stack_p00458.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00458.tif,6463,0
173,T55HGV_20200827T000251,T55HGV_20200827T000251_20m_stack_p00142.tif,T55HGV_20200827T000251_20m_stack_maskf_p00142.tif,5979,0
174,T16SCD_20200815T162839,T16SCD_20200815T162839_20m_stack_p00001.tif,T16SCD_20200815T162839_20m_stack_maskf_p00001.tif,0,0
175,T52LFL_20200812T013719,T52LFL_20200812T013719_20m_stack_p00051.tif,T52LFL_20200812T013719_20m_stack_maskf_p00051.tif,266,0
176,T20JQR_20200827T141049,T20JQR_20200827T141049_20m_stack_p00264.tif,T20JQR_20200827T141049_20m_stack_maskf_p00264.tif,11999,0
177,T35ULR_20200821T092031,T35ULR_20200821T092031_20m_stack_p00405.tif,T35ULR_20200821T092031_20m_stack_maskf_p00405.tif,14357,0
178,T55HGV_20200827T000251,T55HGV_20200827T000251_20m_stack_p00272.tif,T55HGV_20200827T000251_20m_stack_maskf_p00272.tif,4866,0
179,T37TEN_20200808T081609,T37TEN_20200808T081609_20m_stack_p00133.tif,T37TEN_20200808T081609_20m_stack_maskf_p00133.tif,12056,0
180,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00282.tif,T50TLK_20200810T030551_20m_stack_maskf_p00282.tif,6547,0
181,T50TLK_20200810T030551,T50TLK_20200810T030551_20m_stack_p00279.tif,T50TLK_20200810T030551_20m_stack_maskf_p00279.tif,5027,0
182,T38SPA_20200823T072619,T38SPA_20200823T072619_20m_stack_p00360.tif,T38SPA_20200823T072619_20m_stack_maskf_p00360.tif,5299,0
